Country,Error
QAT__nan,0.0653516237062097
RKS__nan,0.1400140645689337
ROU__nan,0.0433717610801275
RUS__nan,0.0622873543001585
RWA__nan,0.129462075477063
SAU__nan,0.0712891720475612
SDN__nan,0.1097509183200956
SEN__nan,0.1031596344788154
SGP__nan,0.1296650207317871
SLB__nan,0.6385547610268445
SLE__nan,0.0986517575407219
SLV__nan,0.0900306751727475
SMR__nan,0.0936461724190109
SOM__nan,0.1946329269392781
SRB__nan,0.1435372496446771
SSD__nan,0.0968119511128381
SUR__nan,0.033479757991542
SVK__nan,0.0381279841136842
SVN__nan,0.0314973718803599
SWE__nan,0.0490850037112177
SWZ__nan,0.070649871916243
SYC__nan,0.0857481922454036
SYR__nan,0.089238502618171
TCD__nan,0.0380256448468749
TGO__nan,0.0306393637599265
THA__nan,0.1603592530032973
TJK__nan,0.0777076671560986
TLS__nan,0.0301827539699827
TTO__nan,0.0902832803548819
TUN__nan,0.0766641271353567
TUR__nan,0.2402229351208233
TWN__nan,0.0544647743939923
TZA__nan,0.1272317803231822
UGA__nan,0.0628958305179658
UKR__nan,0.0369633883411344
URY__nan,0.0503981923009948
USA__nan,0.0477455136576903
USA__Alaska,0.0544918935325742
USA__Alabama,0.0313444094222243
USA__Arkansas,0.0372879737342832
USA__Arizona,0.0582034927529175
USA__California,0.0905115365164992
USA__Colorado,0.0758912101009494
USA__Connecticut,0.0390729950599221
USA__Washington DC,0.0379049388144049
USA__Delaware,0.0824739378768208
USA__Florida,0.0917176012452544
USA__Georgia,0.0572371157254917
USA__Hawaii,0.0609593056957988
USA__Iowa,0.0412380084445342
USA__Idaho,0.0378651982866813
USA__Illinois,0.034326931424445
USA__Indiana,0.034401668021978
USA__Kansas,0.0669612048760721
USA__Kentucky,0.1112417145217699
USA__Louisiana,0.0447493151571802
USA__Massachusetts,0.0645440109481579
USA__Maryland,0.068356238257176
USA__Maine,0.0411346753927492
USA__Michigan,0.0597316186471652
USA__Minnesota,0.06046163211824
USA__Missouri,0.0218237000975364
USA__Mississippi,0.0517276355216692
USA__Montana,0.0783043107694653
USA__North Carolina,0.0327366611829412
USA__North Dakota,0.0544529616789786
USA__Nebraska,0.0357370044490411
USA__New Hampshire,0.043333526613687
USA__New Jersey,0.0844449249427126
USA__New Mexico,0.0362047153519728
USA__Nevada,0.0707204358686099
USA__New York,0.1061960892919535
USA__Ohio,0.0431533573333169
USA__Oklahoma,0.0540108384481292
USA__Oregon,0.0707192783403831
USA__Pennsylvania,0.0596794690933204
USA__Rhode Island,0.0733715534348765
USA__South Carolina,0.0547744503536417
USA__South Dakota,0.0818670622621424
USA__Tennessee,0.0465141228979054
USA__Texas,0.0328191863437995
USA__Utah,0.0473942881822806
USA__Virginia,0.0679186904744756
USA__Vermont,0.064638334653396
USA__Washington,0.1590556960517447
USA__Wisconsin,0.0597480874799822
USA__West Virginia,0.0508463509813233
USA__Wyoming,0.0359353817093773
UZB__nan,0.0627153290910867
VEN__nan,0.036299372755889
VIR__nan,0.0744164518859371
VNM__nan,0.1476409177033875
YEM__nan,0.1618870338725013
ZAF__nan,0.0384749842753816
ZMB__nan,0.0895239161221834
ZWE__nan,0.0482863228380566
