x,Full,Full stdev,Condensed,Condensed stdev
2610.0,0.3672,0.04502399360341105,0.5498000000000001,0.003572114219898354
2612.0,0.3678,0.045796943129427316,0.5498000000000001,0.003572114219898354
2613.0,0.3679,0.04586600047965813,0.5498000000000001,0.003572114219898354
2614.0,0.3704,0.04693442233585069,0.5498000000000001,0.003572114219898354
2615.0,0.3715000000000001,0.04720434302053149,0.5498000000000001,0.003572114219898354
2703.0,0.3731,0.04500766601369149,0.5498000000000001,0.003572114219898354
2704.0,0.3732,0.0448838501022361,0.5498000000000001,0.003572114219898354
2706.0,0.3739,0.04329538081597158,0.5498000000000001,0.003572114219898354
2708.0,0.374,0.043259680997436864,0.5498000000000001,0.003572114219898354
2709.0,0.3754000000000001,0.04297720325940253,0.5498000000000001,0.003572114219898354
2713.0,0.3772,0.04460896770829829,0.5498000000000001,0.003572114219898354
2715.0,0.3786000000000001,0.046299460040047986,0.5498000000000001,0.003572114219898354
2776.0,0.3786000000000001,0.046299460040047986,0.5499,0.0036180105030251116
2802.0,0.3799,0.046306479028317415,0.5499,0.0036180105030251116
2803.0,0.38,0.04632062175748508,0.5499,0.0036180105030251116
2805.0,0.3801000000000001,0.04618755243569418,0.5499,0.0036180105030251116
2807.0,0.3813,0.04684026046042016,0.5499,0.0036180105030251116
2808.0,0.3814,0.04661802226607216,0.5499,0.0036180105030251116
2811.0,0.3838,0.0481576577503516,0.5499,0.0036180105030251116
2813.0,0.3842,0.04825101035211594,0.5499,0.0036180105030251116
2814.0,0.3858,0.048647302083466036,0.5499,0.0036180105030251116
2903.0,0.3875,0.04501166515471295,0.5499,0.0036180105030251116
2904.0,0.3877,0.044859893000318216,0.5499,0.0036180105030251116
2905.0,0.3883,0.04398192810689409,0.5499,0.0036180105030251116
2907.0,0.39,0.04446571713129116,0.5499,0.0036180105030251116
2908.0,0.3949,0.04485186729669122,0.5499,0.0036180105030251116
2909.0,0.3965,0.045464821565689664,0.5499,0.0036180105030251116
2910.0,0.3966,0.04551966607961882,0.5499,0.0036180105030251116
2912.0,0.3967,0.04558738860693821,0.5499,0.0036180105030251116
2915.0,0.397,0.04580174669158371,0.5499,0.0036180105030251116
3002.0,0.397,0.04580174669158371,0.5501,0.0036728735344413945
3004.0,0.3976,0.04448190643396481,0.5501,0.0036728735344413945
3005.0,0.4006,0.041425113156152035,0.5501,0.0036728735344413945
3010.0,0.4008,0.041561520665153735,0.5501,0.0036728735344413945
3013.0,0.4009,0.041606369704649794,0.5501,0.0036728735344413945
3014.0,0.4015000000000001,0.041948182320572604,0.5501,0.0036728735344413945
3101.0,0.4015000000000001,0.041948182320572604,0.5503000000000001,0.0038223029707232813
3102.0,0.4026,0.0405467631260499,0.5503000000000001,0.0038223029707232813
3104.0,0.4058,0.0330508698826521,0.5504,0.003638681079732054
3107.0,0.4067,0.03315735212588605,0.5504,0.003638681079732054
3108.0,0.4068,0.032938731001664286,0.5504,0.003638681079732054
3109.0,0.4075,0.03144598543534611,0.5504,0.003638681079732054
3110.0,0.4097,0.03247167996885902,0.5504,0.003638681079732054
3112.0,0.4099,0.032601993804060515,0.5504,0.003638681079732054
3113.0,0.4104,0.032958155288183216,0.5504,0.003638681079732054
3206.0,0.4105,0.03304617980947268,0.5504,0.003638681079732054
3209.0,0.4106,0.033079298662456555,0.5504,0.003638681079732054
3210.0,0.41200000000000003,0.033030289129827486,0.5504,0.003638681079732054
3211.0,0.4136,0.033329266418569724,0.5504,0.003638681079732054
3215.0,0.4169000000000001,0.03543289432151993,0.5504,0.003638681079732054
3216.0,0.4175,0.035800139664532035,0.5504,0.003638681079732054
3219.0,0.4176,0.03586418826629149,0.5504,0.003638681079732054
3305.0,0.4186,0.03611149401506395,0.5504,0.003638681079732054
3307.0,0.4225,0.02895945441475029,0.5504,0.003638681079732054
3309.0,0.4274,0.022415173432298045,0.5504,0.003638681079732054
3310.0,0.4275000000000001,0.022415396494374133,0.5504,0.003638681079732054
3312.0,0.4282,0.02262211307548435,0.5504,0.003638681079732054
3314.0,0.4283,0.02268501708176567,0.5504,0.003638681079732054
3315.0,0.4308,0.02528556900684658,0.5504,0.003638681079732054
3317.0,0.4314,0.025636692454370943,0.5504,0.003638681079732054
3392.0,0.4314,0.025636692454370943,0.5505000000000001,0.0037215588131856814
3407.0,0.4315000000000001,0.02550784193145316,0.5505000000000001,0.0037215588131856814
3410.0,0.4324,0.025527240352219826,0.5505000000000001,0.0037215588131856814
3411.0,0.4328,0.02554916828391876,0.5505000000000001,0.0037215588131856814
3414.0,0.4343,0.02594243627726587,0.5505000000000001,0.0037215588131856814
3417.0,0.4366,0.028075612192791092,0.5505000000000001,0.0037215588131856814
3420.0,0.4377,0.028439585088393955,0.5505000000000001,0.0037215588131856814
3423.0,0.4381,0.028873690446494706,0.5505000000000001,0.0037215588131856814
3424.0,0.4384,0.02903170680480222,0.5505000000000001,0.0037215588131856814
3502.0,0.4385,0.02883140648667698,0.5505000000000001,0.0037215588131856814
3503.0,0.4402,0.02572469630530164,0.5505000000000001,0.0037215588131856814
